ticker,name,currency,exchange,industry,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,total_grade,total_level,total_revenue,operating_costs,proprietary_expenses,gross_profit,management_fee,total_operating_revenues,capex,roe,roic,roic_ttm,ev_ebitda,pe,pb,pcf,ps,market_cap,roa,short_debt_ratio,long_debt_ratio,debt_to_capital,asset_to_liab,equity_multiplier,current_ratio,net_income,management_compensation,beta,calculated_total,total_check,sector
cms,CMS Energy Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,BBB,High,AA,Excellent,C,Low,450,667,75,1192,BBB,High,8596000000.0,6960000000.0,207000000.0,1636000000.0,,8596000000.0,2374000000.0,12.2673,4.1426,3.8819,12.9044741166804,27.9439753564277,3.44413302508173,-79.5547869841156,2.72092919652513,18851490000.0,2.5931,12.5642,87.4358,67.0719,75.7758,4.1281,1.1501,813000000.0,21247368.0,-0.0886891295934347,1192,True,Real_Assets
cmi,Cummins Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Machinery,A,High,BB,Medium,BB,Medium,510,320,300,1130,BBB,High,28074000000.0,21355000000.0,4035000000.0,6719000000.0,,28074000000.0,916000000.0,24.6547,14.6014,12.7807,9.27092026293227,34.0435589911669,8.15907469526462,-149.139909144603,2.60838125632258,31084950000.0,7.2049,56.8945,43.1055,46.6726,66.253,2.9632,1.2653,2183000000.0,35569098.0,0.174316157923231,1130,True,Industrials
cl,Colgate-Palmolive Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,A,High,BB,Medium,BB,Medium,520,310,310,1140,BBB,High,17967000000.0,7719000000.0,6645000000.0,10248000000.0,,17967000000.0,696000000.0,353.4653,20.9741,19.472,20.5512277204191,37.782773712,168.185164777855,-1183.19738729684,3.75367346111872,71726587436.56,12.504,26.8275,73.1725,95.6256,94.8764,19.5174,1.277,1967000000.0,25917367.0,-0.0008155464242942,1140,True,Consumer
mmm,3M Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Industrial Conglomerates,A,High,BB,Medium,BB,Medium,526,310,305,1141,BBB,High,34229000000.0,19232000000.0,10911000000.0,14997000000.0,,34229000000.0,1749000000.0,38.8135,18.2707,18.7955,11.9887185322138,13.0205687502545,5.10934829983834,-82.7500832455666,2.197546690532,101576912257.14,12.4658,30.0552,69.9448,52.1018,68.2058,3.1452,1.5424,5791000000.0,34370079.0,0.002601828943452,1141,True,Industrials
cfg,Citizens Financial Group Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Banking,B,Medium,B,Medium,B,Medium,230,215,205,650,B,Medium,,,,,,7547000000.0,126000000.0,8.8007,,,,12.00561619589,1.14816582275697,17.9176690958099,3.29768681251888,19945982558.25,0.9143,,,89.5516,89.5516,9.5708,,2073000000.0,24908843.0,0.0979329674346676,650,True,Financials
cag,Conagra Brands Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Food Products,A,High,BB,Medium,BB,Medium,525,306,300,1131,BBB,High,11535900000.0,8697100000.0,1492800000.0,2838800000.0,,11535900000.0,464400000.0,10.2448,5.0287,4.999,13.5862608976041,8.1864625309615,0.827431070701094,2345.55355483871,0.630311984327187,16381677513.65,3.959,25.9252,74.0748,50.5406,60.4985,2.5315,0.8621,888200000.0,27393273.0,-0.0826671539369917,1131,True,Consumer
ci,Cigna Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Health Care,A,High,BB,Medium,BB,Medium,508,328,310,1146,BBB,High,,,139896000000.0,,,180516000000.0,1295000000.0,14.4982,,,,10.7529654478344,1.59789564998574,167.525171977009,0.397198994029117,74158549240.0,4.6869,,,68.807,68.7693,3.202,,6746000000.0,50288599.0,0.0241353257097208,1146,True,Healthcare
cah,Cardinal Health Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Health Care,A,High,BB,Medium,BB,Medium,505,300,315,1120,BBB,High,181364000000.0,174819000000.0,4881000000.0,6545000000.0,,181364000000.0,387000000.0,,-14.7708,-20.2562,15.7809493670886,-52.3849266057878,-68.9353124445698,37.3092645215267,0.269486427974681,14262730000.0,-2.1241,68.5223,31.4777,115.393,101.609,-62.1501,1.0781,-932000000.0,25923059.0,0.0804787763308066,1120,True,Healthcare
ma,Mastercard Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Technology,B,Medium,B,Medium,B,Medium,210,230,215,655,B,Medium,22237000000.0,,9617000000.0,,8078000000.0,22237000000.0,1097000000.0,145.9221,47.8162,48.8657,28.0402838427948,44.972307626712,70.9074332698079,-632.542513786473,20.0825207866731,352133600000.0,25.643,43.8093,56.1907,69.0074,83.5322,6.0724,1.1718,9930000000.0,56641526.0,0.0256119683708424,655,True,Tech
lw,Lamb Weston Holdings Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Food Products,BB,Medium,B,Medium,BB,Medium,345,256,300,901,BBB,High,4098900000.0,3266900000.0,387600000.0,832000000.0,,4098900000.0,290100000.0,47.7708,6.3712,6.5048,18.6633799497572,28.225314403783,15.7294470560888,-21.9360373838298,1.38341156498573,9203004168.0,4.8529,18.4981,81.5019,88.3277,91.2918,11.4835,2.3739,200900000.0,20283844.0,0.0834311925592012,901,True,Consumer
maa,Mid-America Apartment Communities Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,BB,Medium,B,Medium,B,Medium,315,261,210,786,BB,Medium,,723694000.0,667294000.0,,58833000.0,2019866000.0,567604000.0,10.6053,,,,22.4014012277311,2.36973940559442,-205.380062321113,7.06950836986216,26462892829.44,5.8248,,,45.5003,44.7529,1.81,,654776000.0,23707428.0,-0.0160439341035385,786,True,Real_Assets
mlm,Martin Marietta Materials Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Construction,A,High,BB,Medium,BB,Medium,573,313,300,1186,BBB,High,6160700000.0,4737400000.0,396700000.0,1423300000.0,,5730500000.0,481800000.0,12.6487,7.2698,7.0988,23.1231242350061,40.3641220639825,4.87938372568998,350.226436487087,5.67916324525784,27488448000.0,5.7811,18.484,81.516,41.276,52.1609,2.0903,1.9901,866800000.0,25603097.0,0.207727251849062,1186,True,Industrials
luv,Southwest Airlines Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Airlines,B,Medium,BB,Medium,B,Medium,295,314,218,827,BB,Medium,23814000000.0,,22797000000.0,,,23814000000.0,3946000000.0,5.1088,2.7007,2.8708,7.83563033816252,36.0330243871985,1.81732947924581,-6.49993311402276,0.815562280368691,25366425469.56,1.5239,42.0468,57.9532,43.0786,69.7843,3.3095,1.4269,539000000.0,24701775.0,-0.0531914360450462,827,True,Transport
lnc,Lincoln National Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,AA,Excellent,BB,Medium,BB,Medium,700,300,300,1300,A,High,,,5262000000.0,,,18784000000.0,,-18.2743,,,,-3.05834721462955,2.18649735055538,9.31729035154583,0.362592591938884,12095229333.9,-0.6639,,,98.7774,98.7774,81.794,,-2227000000.0,47196369.0,0.0494926150769715,1300,True,Financials
len,Lennar Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,BB,Medium,BB,Medium,B,Medium,363,344,220,927,BBB,High,,26468866000.0,480897000.0,,414498000.0,33671010000.0,57214000.0,20.5452,,,,4.87697304430417,0.933713543206572,12.0978014727537,0.668318629231793,33947506591.6,12.238,,,36.3169,36.1832,1.567,,4648501000.0,112308573.0,0.0801362662850784,927,True,Consumer
